"route","audience_intent","cta_copy","position","target","solution","funnel_stage","target_type","resolved_url","strength"
"/","Declared page intent; confirm against editorial brief.","Choose a decision path ↗","text-link hero-work-link","#route-entries","In-page decision navigation","early-stage","anchor-navigation","https://hardmagic.com/#route-entries","intentional"
"/","Declared page intent; confirm against editorial brief.","Enter Horizon 2035 ↗","text-link","horizon/","Research or method path","early-stage","internal","https://hardmagic.com/horizon/","strong"
"/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/","Declared page intent; confirm against editorial brief.","Go deeper now ↘","text-link hero-signal-link","#close","In-page decision navigation","early-stage","anchor-navigation","https://hardmagic.com/#close","intentional"
"/","Declared page intent; confirm against editorial brief.","How we engage ↗","text-link","company/operating-model/","Company context","early-stage","internal","https://hardmagic.com/company/operating-model/","strong"
"/","Declared page intent; confirm against editorial brief.","Read latest media signal notes ↗","text-link","insights/","Research or method path","early-stage","internal","https://hardmagic.com/insights/","strong"
"/","Declared page intent; confirm against editorial brief.","Read recent insights ↗","text-link","insights/","Research or method path","early-stage","internal","https://hardmagic.com/insights/","strong"
"/","Declared page intent; confirm against editorial brief.","Read the private brief library ↗","text-link","briefs/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/","strong"
"/","Declared page intent; confirm against editorial brief.","See all service lines ↗","text-link","services/","Specific service solution","early-stage","internal","https://hardmagic.com/services/","strong"
"/","Declared page intent; confirm against editorial brief.","Commission the next move","button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/","Declared page intent; confirm against editorial brief.","Explore the company","button dark-button","company/","Company context","primary","internal","https://hardmagic.com/company/","strong"
"/","Declared page intent; confirm against editorial brief.","Explore the full studio portfolio","button dark-button","portfolio/","Relevant experience proof","primary","internal","https://hardmagic.com/portfolio/","strong"
"/","Declared page intent; confirm against editorial brief.","See full portfolio and case approach","button dark-button","portfolio/","Relevant experience proof","primary","internal","https://hardmagic.com/portfolio/","strong"
"/","Declared page intent; confirm against editorial brief.","Start a consulting intake","button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/404/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/404/","Declared page intent; confirm against editorial brief.","Return to HardMagic","button dark-button","./","Home navigation","primary","utility-navigation","https://hardmagic.com/","intentional"
"/accessibility/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/accessibility/","Declared page intent; confirm against editorial brief.","Review accessibility methods ↗","text-link","/methods/accessibility-as-editorial/","Research or method path","early-stage","internal","https://hardmagic.com/methods/accessibility-as-editorial/","strong"
"/accessibility/","Declared page intent; confirm against editorial brief.","Report an issue","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Browse all eight ↓","text-link","briefs/#choose","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/#choose","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Explore the public page ↗","text-link","briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Explore the public page ↗","text-link","briefs/modern-media-agency-transformation-playbook/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/modern-media-agency-transformation-playbook/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Explore the public page ↗","text-link","briefs/creative-direction-after-the-prompt/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/creative-direction-after-the-prompt/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Explore the public page ↗","text-link","briefs/autonomous-web-publishing-control-plane/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/autonomous-web-publishing-control-plane/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Explore the public page ↗","text-link","briefs/provenance-ready-content-supply-chain/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/provenance-ready-content-supply-chain/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Explore the public page ↗","text-link","briefs/intelligent-media-asset-estate/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Explore the public page ↗","text-link","briefs/hybrid-ai-media-infrastructure/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/hybrid-ai-media-infrastructure/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Explore the public page ↗","text-link","briefs/visual-product-development-field-guide/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/visual-product-development-field-guide/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","How private delivery works ↘","text-link","briefs/#brief-lock","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/#brief-lock","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Bring the decision to a working session","button light","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Choose by decision","button","briefs/#choose","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/#choose","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Describe the decision","button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Read summary & request","button dark-button","briefs/generative-media-operating-system/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/generative-media-operating-system/#request","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Read summary & request","button dark-button","briefs/modern-media-agency-transformation-playbook/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/modern-media-agency-transformation-playbook/#request","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Read summary & request","button dark-button","briefs/creative-direction-after-the-prompt/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/creative-direction-after-the-prompt/#request","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Read summary & request","button dark-button","briefs/autonomous-web-publishing-control-plane/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/autonomous-web-publishing-control-plane/#request","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Read summary & request","button dark-button","briefs/provenance-ready-content-supply-chain/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/provenance-ready-content-supply-chain/#request","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Read summary & request","button dark-button","briefs/intelligent-media-asset-estate/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/#request","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Read summary & request","button dark-button","briefs/hybrid-ai-media-infrastructure/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/hybrid-ai-media-infrastructure/#request","strong"
"/briefs/","Declared page intent; confirm against editorial brief.","Read summary & request","button dark-button","briefs/visual-product-development-field-guide/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/visual-product-development-field-guide/#request","strong"
"/briefs/autonomous-web-publishing-control-plane/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/autonomous-web-publishing-control-plane/","Declared page intent; confirm against editorial brief.","Deliver my private edition","form","https://briefs.hardmagic.com/api/brief-request","BriefLock private delivery","primary","application","https://briefs.hardmagic.com/api/brief-request","strong"
"/briefs/autonomous-web-publishing-control-plane/","Declared page intent; confirm against editorial brief.","Request the brief","button dark-button","briefs/autonomous-web-publishing-control-plane/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/autonomous-web-publishing-control-plane/#request","strong"
"/briefs/autonomous-web-publishing-control-plane/thanks/","Declared page intent; confirm against editorial brief.","Compare the eight briefs Return to the decision library ↗","confirmation-link","briefs/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/","strong"
"/briefs/autonomous-web-publishing-control-plane/thanks/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/autonomous-web-publishing-control-plane/thanks/","Declared page intent; confirm against editorial brief.","Explore Web Magic Web Magic and web portfolio assessment ↗","confirmation-link","products/web-magic/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/web-magic/","strong"
"/briefs/autonomous-web-publishing-control-plane/thanks/","Declared page intent; confirm against editorial brief.","GenAI Strategy Agent controls and authorization need implementation ↗","confirmation-link","services/genai-strategy/","Specific service solution","early-stage","internal","https://hardmagic.com/services/genai-strategy/","strong"
"/briefs/autonomous-web-publishing-control-plane/thanks/","Declared page intent; confirm against editorial brief.","Marketing Consulting Content and conversion are the primary problems ↗","confirmation-link","services/marketing-consulting/","Specific service solution","early-stage","internal","https://hardmagic.com/services/marketing-consulting/","strong"
"/briefs/autonomous-web-publishing-control-plane/thanks/","Declared page intent; confirm against editorial brief.","WireMark Visual product review is the primary workflow ↗","confirmation-link","products/wiremark/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/","strong"
"/briefs/autonomous-web-publishing-control-plane/thanks/","Declared page intent; confirm against editorial brief.","Bring this to a working session ↗","button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/briefs/autonomous-web-publishing-control-plane/thanks/","Declared page intent; confirm against editorial brief.","Return to the public summary ↗","confirmation-summary-link","briefs/autonomous-web-publishing-control-plane/","BriefLock private delivery","utility-action","internal","https://hardmagic.com/briefs/autonomous-web-publishing-control-plane/","strong"
"/briefs/creative-direction-after-the-prompt/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/creative-direction-after-the-prompt/","Declared page intent; confirm against editorial brief.","Deliver my private edition","form","https://briefs.hardmagic.com/api/brief-request","BriefLock private delivery","primary","application","https://briefs.hardmagic.com/api/brief-request","strong"
"/briefs/creative-direction-after-the-prompt/","Declared page intent; confirm against editorial brief.","Request the brief","button dark-button","briefs/creative-direction-after-the-prompt/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/creative-direction-after-the-prompt/#request","strong"
"/briefs/creative-direction-after-the-prompt/thanks/","Declared page intent; confirm against editorial brief.","Compare the eight briefs Return to the decision library ↗","confirmation-link","briefs/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/","strong"
"/briefs/creative-direction-after-the-prompt/thanks/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/creative-direction-after-the-prompt/thanks/","Declared page intent; confirm against editorial brief.","Explore Creative Director intake Creative Director intake ↗","confirmation-link","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/creative-direction-after-the-prompt/thanks/","Declared page intent; confirm against editorial brief.","HardMagic Studio The operating workflow needs implementation ↗","confirmation-link","products/studio/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/studio/","strong"
"/briefs/creative-direction-after-the-prompt/thanks/","Declared page intent; confirm against editorial brief.","Marketing Consulting Positioning is unresolved ↗","confirmation-link","services/marketing-consulting/","Specific service solution","early-stage","internal","https://hardmagic.com/services/marketing-consulting/","strong"
"/briefs/creative-direction-after-the-prompt/thanks/","Declared page intent; confirm against editorial brief.","Media Management Continuity, curation, or asset governance is the primary problem ↗","confirmation-link","services/media-management/","Specific service solution","early-stage","internal","https://hardmagic.com/services/media-management/","strong"
"/briefs/creative-direction-after-the-prompt/thanks/","Declared page intent; confirm against editorial brief.","Bring this to a working session ↗","button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/briefs/creative-direction-after-the-prompt/thanks/","Declared page intent; confirm against editorial brief.","Return to the public summary ↗","confirmation-summary-link","briefs/creative-direction-after-the-prompt/","BriefLock private delivery","utility-action","internal","https://hardmagic.com/briefs/creative-direction-after-the-prompt/","strong"
"/briefs/generative-media-operating-system/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/generative-media-operating-system/","Declared page intent; confirm against editorial brief.","Deliver my private edition","form","https://briefs.hardmagic.com/api/brief-request","BriefLock private delivery","primary","application","https://briefs.hardmagic.com/api/brief-request","strong"
"/briefs/generative-media-operating-system/","Declared page intent; confirm against editorial brief.","Request the brief","button dark-button","briefs/generative-media-operating-system/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/generative-media-operating-system/#request","strong"
